customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,customer_phone,customer_since
75.0,Anthony,manuel20@example.net,Silver,4973.0,2026-02-02,AR,7428208928,2024-05-15
70.0,Selena,lrocha@example.com,Silver,3183.0,2025-12-31,AR,1794771680,2021-09-03
76.0,Emma,dawn52@example.org,Gold,4433.0,2026-01-28,REG,4303210059,2025-05-28
,,,,,,,7129818738,
,,,,,,,9421534833,
51.0,Leslie,whitetammy@example.com,Gold,4548.0,2026-01-20,AR,4455111594,2025-07-31
103.0,Madison,michellewilson@example.org,Bronze,3354.0,2026-01-20,REG,797428875,2022-06-14
75.0,Anthony,manuel20@example.net,Silver,4973.0,2026-02-02,AR,4686406937,2024-05-15
31.0,James,iproctor@example.com,Bronze,3219.0,2026-01-26,AR,9973525094,2024-03-27
58.0,Jennifer,raymondstephens@example.com,Bronze,1154.0,2026-02-03,REG,2897798338,2024-03-15
115.0,Shawna,zwalker@example.org,Bronze,2205.0,2025-12-07,HS,2304127332,2021-06-06
11.0,Valerie,rachel35@example.net,Gold,4496.0,2025-12-11,REG,829083410,2025-08-03
58.0,Jennifer,raymondstephens@example.com,Bronze,1154.0,2026-02-03,REG,9934492072,2024-03-15
,,,,,,,7236728124,
,,,,,,,4613759242,
37.0,Benjamin,ymarquez@example.net,Silver,1959.0,2025-12-25,REG,7625482037,2025-11-12
113.0,Scott,erinmartinez@example.com,Bronze,16.0,2025-12-19,AR,4324957992,2023-02-25
49.0,Sharon,patrick73@example.net,Gold,2049.0,2026-01-08,HS,662969700,2025-10-29
87.0,David,lowemary@example.org,Bronze,3987.0,2026-02-01,REG,3232435263,2023-02-16
41.0,Thomas,bmartinez@example.net,Gold,1802.0,2025-12-15,AR,8576803643,2022-07-02
50.0,David,jasmineyork@example.com,Gold,3723.0,2026-01-11,HS,8456540313,2023-11-19
84.0,Rebecca,dillon49@example.com,Bronze,4493.0,2026-01-02,AR,4977247272,2021-04-03
46.0,John,morganmcintyre@example.net,Silver,1016.0,2026-01-15,AR,8070093333,2022-06-21
13.0,Whitney,joseph52@example.com,Silver,4389.0,2025-12-22,REG,1398661767,2024-12-27
87.0,David,lowemary@example.org,Bronze,3987.0,2026-02-01,REG,9263373810,2023-02-16
101.0,Brittany,hnicholson@example.net,Gold,562.0,2026-01-26,HS,5528396530,2024-03-14
110.0,Dale,brandybaker@example.net,Silver,4754.0,2026-01-02,HS,1089793099,2021-11-03
21.0,Margaret,chris23@example.net,Gold,1147.0,2025-12-14,AR,480536452,2025-09-12
62.0,Teresa,calderonann@example.org,Bronze,3991.0,2026-01-26,HS,256661166,2024-07-04
99.0,John,santosdanielle@example.org,Silver,1693.0,2025-12-22,HS,1041375899,2022-07-28
67.0,Peter,brittneydavis@example.net,Silver,4199.0,2025-12-20,AR,5880453603,2023-10-01
29.0,Angela,glennbrown@example.net,Bronze,1986.0,2025-12-10,AR,4398525055,2025-11-24
119.0,Amanda,perkinsgina@example.org,Silver,2565.0,2025-12-17,HS,8647807501,2023-09-16
11.0,Valerie,rachel35@example.net,Gold,4496.0,2025-12-11,REG,2439401396,2025-08-03
104.0,Christopher,robert32@example.net,Bronze,225.0,2025-12-11,REG,816581786,2022-10-08
117.0,Jose,brian04@example.net,Bronze,1069.0,2026-01-05,HS,6311179922,2024-03-03
57.0,Danielle,shelleywells@example.com,Gold,2255.0,2025-12-08,AR,9302133171,2023-08-03
2.0,Erin,ann03@example.com,Bronze,3474.0,2026-01-22,HS,1583215476,2021-07-10
