transaction_id,customer_id,store_id,transaction_date,total_amount,customer_phone
TXN100003,75.0,2,2026-02-01 08:11:01.543340,-2167.42,7428208928
TXN100024,70.0,1,2026-01-31 08:11:01.544396,-4317.82,1794771680
TXN100029,76.0,3,2026-01-31 08:11:01.544674,-1688.36,4303210059
TXN100037,,2,2026-02-03 08:11:01.545118,447.87,7129818738
TXN100087,,2,2026-01-30 08:11:01.547905,2647.61,9421534833
TXN100092,51.0,3,2026-02-01 08:11:01.548173,-2784.89,4455111594
TXN100097,103.0,2,2026-01-28 08:11:01.548453,-1075.74,797428875
TXN100117,75.0,4,2026-02-02 08:11:01.553822,-2865.52,4686406937
TXN100123,31.0,2,2026-02-01 08:11:01.554178,-1076.87,9973525094
TXN100205,58.0,4,2026-01-31 08:11:01.568981,-1351.1,2897798338
TXN100214,115.0,4,2026-02-04 08:11:01.569477,-3174.54,2304127332
TXN100221,11.0,5,2026-02-03 08:11:01.576047,-3974.34,829083410
TXN100244,58.0,4,2026-01-29 08:11:01.577361,-3252.37,9934492072
TXN100262,,4,2026-02-03 08:11:01.584657,988.89,7236728124
TXN100271,,2,2026-01-31 08:11:01.585310,1101.67,4613759242
TXN100272,37.0,4,2026-02-02 08:11:01.585363,-1707.8,7625482037
TXN100319,113.0,1,2026-01-29 08:11:01.600567,-1812.97,4324957992
TXN100352,49.0,2,2026-01-28 08:11:01.608603,-4752.39,662969700
TXN100423,87.0,5,2026-02-02 08:11:01.625092,-3876.75,3232435263
TXN100437,41.0,4,2026-02-01 08:11:01.632094,-4685.54,8576803643
TXN100452,50.0,2,2026-02-03 08:11:01.632810,-1346.84,8456540313
TXN100496,84.0,5,2026-01-29 08:11:01.641512,-2490.49,4977247272
TXN100519,46.0,3,2026-01-28 08:11:01.643785,-622.1,8070093333
TXN100529,13.0,4,2026-01-30 08:11:01.644439,-763.9,1398661767
TXN100537,87.0,4,2026-02-01 08:11:01.649990,-3861.33,9263373810
TXN100545,101.0,3,2026-02-01 08:11:01.650411,-2209.23,5528396530
TXN100568,110.0,2,2026-02-01 08:11:01.651584,-1859.29,1089793099
TXN100571,21.0,2,2026-01-31 08:11:01.651733,-505.09,480536452
TXN100589,62.0,1,2026-01-28 08:11:01.656829,-1703.72,256661166
TXN100611,99.0,3,2026-02-01 08:11:01.662312,-4712.27,1041375899
TXN100615,67.0,3,2026-01-30 08:11:01.662507,-4454.75,5880453603
TXN100633,29.0,1,2026-02-01 08:11:01.663467,-3729.82,4398525055
TXN100635,119.0,4,2026-02-01 08:11:01.663564,-4805.68,8647807501
TXN100640,11.0,2,2026-01-31 08:11:01.666191,-2810.15,2439401396
TXN100659,104.0,4,2026-01-28 08:11:01.667234,-4954.32,816581786
TXN100663,117.0,1,2026-02-01 08:11:01.667433,-4082.46,6311179922
TXN100668,57.0,5,2026-02-01 08:11:01.667694,-4428.78,9302133171
TXN100683,2.0,5,2026-02-01 08:11:01.668384,-2679.6,1583215476
