line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount,customer_id,store_id,transaction_date,total_amount,customer_phone_x,product_name,product_category,unit_price,current_stock_level,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,customer_phone_y,customer_since,store_name,store_city,store_region,opening_date,promotion_name,start_date,end_date,discount_percentage,applicable_category,error_reason
11,TXN100003,3,,2,3162.18,75.0,2,2026-02-01 08:11:01.543340,-2167.42,7428208928,Picture,Grocery,1581.09,882,Anthony,manuel20@example.net,Silver,4973.0,2026-02-02,AR,1332670868.0,2024-05-15,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,Total amount is Negative or NULL
12,TXN100003,30,,4,7528.08,75.0,2,2026-02-01 08:11:01.543340,-2167.42,7428208928,Send,Home,1882.02,876,Anthony,manuel20@example.net,Silver,4973.0,2026-02-02,AR,1332670868.0,2024-05-15,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,Total amount is Negative or NULL
13,TXN100003,7,,3,421.74,75.0,2,2026-02-01 08:11:01.543340,-2167.42,7428208928,Later,Grocery,140.58,481,Anthony,manuel20@example.net,Silver,4973.0,2026-02-02,AR,1332670868.0,2024-05-15,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,Total amount is Negative or NULL
75,TXN100024,8,,3,3704.13,70.0,1,2026-01-31 08:11:01.544396,-4317.82,1794771680,Weight,Grocery,1234.71,746,Selena,lrocha@example.com,Silver,3183.0,2025-12-31,AR,5534255668.0,2021-09-03,Wood-Davis Store,Snyderport,Georgia,2024-04-15,,,,,,Total amount is Negative or NULL
76,TXN100024,15,4.0,4,961.84,70.0,1,2026-01-31 08:11:01.544396,-4317.82,1794771680,Tell,Home,240.46,357,Selena,lrocha@example.com,Silver,3183.0,2025-12-31,AR,5534255668.0,2021-09-03,Wood-Davis Store,Snyderport,Georgia,2024-04-15,Follow Sale,2026-01-17,2026-02-19,6.19,Electronics,Total amount is Negative or NULL
87,TXN100029,29,,4,6246.04,76.0,3,2026-01-31 08:11:01.544674,-1688.36,4303210059,Ground,Home,1561.51,84,Emma,dawn52@example.org,Gold,4433.0,2026-01-28,REG,1814523155.0,2025-05-28,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,,Total amount is Negative or NULL
88,TXN100029,15,,3,721.38,76.0,3,2026-01-31 08:11:01.544674,-1688.36,4303210059,Tell,Home,240.46,357,Emma,dawn52@example.org,Gold,4433.0,2026-01-28,REG,1814523155.0,2025-05-28,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,,Total amount is Negative or NULL
89,TXN100029,9,,2,765.04,76.0,3,2026-01-31 08:11:01.544674,-1688.36,4303210059,Little,Grocery,382.52,271,Emma,dawn52@example.org,Gold,4433.0,2026-01-28,REG,1814523155.0,2025-05-28,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,,Total amount is Negative or NULL
113,TXN100037,22,,3,1663.86,,2,2026-02-03 08:11:01.545118,447.87,7129818738,Raise,Beauty,554.62,207,,,,,,,,,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,customer_id is NULL
114,TXN100037,26,,1,1116.09,,2,2026-02-03 08:11:01.545118,447.87,7129818738,Well,Grocery,1116.09,176,,,,,,,,,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,customer_id is NULL
115,TXN100037,11,,1,1900.33,,2,2026-02-03 08:11:01.545118,447.87,7129818738,Tough,Home,1900.33,315,,,,,,,,,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,customer_id is NULL
116,TXN100037,7,,2,281.16,,2,2026-02-03 08:11:01.545118,447.87,7129818738,Later,Grocery,140.58,481,,,,,,,,,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,customer_id is NULL
117,TXN100037,10,,4,707.4,,2,2026-02-03 08:11:01.545118,447.87,7129818738,Without,Beauty,176.85,721,,,,,,,,,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,customer_id is NULL
281,TXN100087,22,,4,2218.48,,2,2026-01-30 08:11:01.547905,2647.61,9421534833,Raise,Beauty,554.62,207,,,,,,,,,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,customer_id is NULL
282,TXN100087,5,2.0,4,4211.04,,2,2026-01-30 08:11:01.547905,2647.61,9421534833,Least,Beauty,1052.76,290,,,,,,,,,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,Full Sale,2026-01-19,2026-02-17,15.89,Beauty,customer_id is NULL
292,TXN100092,29,,4,6246.04,51.0,3,2026-02-01 08:11:01.548173,-2784.89,4455111594,Ground,Home,1561.51,84,Leslie,whitetammy@example.com,Gold,4548.0,2026-01-20,AR,5593780907.0,2025-07-31,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,,Total amount is Negative or NULL
293,TXN100092,6,,3,3615.63,51.0,3,2026-02-01 08:11:01.548173,-2784.89,4455111594,Daughter,Apparel,1205.21,475,Leslie,whitetammy@example.com,Gold,4548.0,2026-01-20,AR,5593780907.0,2025-07-31,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,,Total amount is Negative or NULL
294,TXN100092,4,,2,878.72,51.0,3,2026-02-01 08:11:01.548173,-2784.89,4455111594,Offer,Beauty,439.36,835,Leslie,whitetammy@example.com,Gold,4548.0,2026-01-20,AR,5593780907.0,2025-07-31,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,,Total amount is Negative or NULL
295,TXN100092,23,,1,1341.92,51.0,3,2026-02-01 08:11:01.548173,-2784.89,4455111594,Process,Home,1341.92,399,Leslie,whitetammy@example.com,Gold,4548.0,2026-01-20,AR,5593780907.0,2025-07-31,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,,Total amount is Negative or NULL
296,TXN100092,11,,2,3800.66,51.0,3,2026-02-01 08:11:01.548173,-2784.89,4455111594,Tough,Home,1900.33,315,Leslie,whitetammy@example.com,Gold,4548.0,2026-01-20,AR,5593780907.0,2025-07-31,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,,Total amount is Negative or NULL
312,TXN100097,28,,1,1940.69,103.0,2,2026-01-28 08:11:01.548453,-1075.74,797428875,Loss,Apparel,1940.69,832,Madison,michellewilson@example.org,Bronze,3354.0,2026-01-20,REG,8908973137.0,2022-06-14,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,Total amount is Negative or NULL
313,TXN100097,5,,1,1052.76,103.0,2,2026-01-28 08:11:01.548453,-1075.74,797428875,Least,Beauty,1052.76,290,Madison,michellewilson@example.org,Bronze,3354.0,2026-01-20,REG,8908973137.0,2022-06-14,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,Total amount is Negative or NULL
314,TXN100097,2,,1,939.34,103.0,2,2026-01-28 08:11:01.548453,-1075.74,797428875,Throughout,Beauty,939.34,289,Madison,michellewilson@example.org,Bronze,3354.0,2026-01-20,REG,8908973137.0,2022-06-14,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,,Total amount is Negative or NULL
