customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,customer_phone,customer_since
81.0,Ronald,jtorres@example.org,Silver,956.0,2026-01-22,REG,5049435537,2025-01-27
17.0,David,irussell@example.com,Gold,1930.0,2026-01-23,REG,7427227012,2023-10-20
64.0,Paula,rlozano@example.com,Gold,4682.0,2025-12-10,REG,804216260,2025-07-24
28.0,Jason,acevedoheather@example.com,Gold,1369.0,2026-01-08,REG,9598955998,2021-09-27
89.0,Kyle,robertstracy@example.org,Bronze,1218.0,2026-01-29,AR,1152780889,2025-07-02
13.0,Whitney,joseph52@example.com,Silver,4389.0,2025-12-22,REG,6510463774,2024-12-27
103.0,Madison,michellewilson@example.org,Bronze,3354.0,2026-01-20,REG,7564961202,2022-06-14
10.0,Yvonne,joseph33@example.com,Bronze,4218.0,2026-01-05,HS,4205986339,2021-11-26
73.0,John,justin13@example.org,Silver,2200.0,2026-01-21,AR,3447864470,2024-04-07
10.0,Yvonne,joseph33@example.com,Bronze,4218.0,2026-01-05,HS,8672186690,2021-11-26
58.0,Jennifer,raymondstephens@example.com,Bronze,1154.0,2026-02-03,REG,8461323967,2024-03-15
26.0,Steven,cmills@example.net,Silver,659.0,2026-02-02,AR,1567495299,2023-12-05
68.0,Jesus,perezwillie@example.org,Silver,3923.0,2026-01-10,AR,3050565862,2024-06-22
118.0,Angela,griffinsteven@example.org,Silver,3444.0,2026-01-21,HS,7625411394,2022-12-02
29.0,Angela,glennbrown@example.net,Bronze,1986.0,2025-12-10,AR,5027542457,2025-11-24
8.0,Heather,vanessa13@example.org,Gold,202.0,2025-12-24,REG,8421382041,2025-10-20
83.0,April,johnsonbeverly@example.org,Bronze,160.0,2025-12-18,HS,9779851129,2024-01-29
33.0,James,staylor@example.org,Silver,1734.0,2026-01-11,HS,9975940973,2023-04-15
95.0,Christopher,zachary01@example.net,Silver,954.0,2026-01-14,REG,1729942309,2021-11-03
28.0,Jason,acevedoheather@example.com,Gold,1369.0,2026-01-08,REG,6460469759,2021-09-27
96.0,Jeffrey,qjones@example.com,Bronze,4565.0,2026-01-10,AR,8463770849,2023-09-20
76.0,Emma,dawn52@example.org,Gold,4433.0,2026-01-28,REG,994490337,2025-05-28
98.0,Michael,emilyclay@example.net,Gold,1045.0,2025-12-27,AR,9639717725,2022-10-05
58.0,Jennifer,raymondstephens@example.com,Bronze,1154.0,2026-02-03,REG,5848011306,2024-03-15
64.0,Paula,rlozano@example.com,Gold,4682.0,2025-12-10,REG,8189259679,2025-07-24
19.0,Alicia,catherine28@example.net,Silver,608.0,2025-12-08,AR,4288622670,2026-01-10
30.0,Adam,dchase@example.org,Gold,146.0,2025-12-13,AR,6060536123,2023-06-21
93.0,Andrew,hughesjill@example.com,Gold,2735.0,2026-01-20,HS,7717375354,2022-05-07
16.0,Joshua,anita78@example.com,Bronze,197.0,2026-01-27,AR,3771825641,2023-05-31
67.0,Peter,brittneydavis@example.net,Silver,4199.0,2025-12-20,AR,2346266520,2023-10-01
91.0,Kylie,elizabeth92@example.net,Gold,4735.0,2026-01-30,AR,9769415897,2022-08-06
115.0,Shawna,zwalker@example.org,Bronze,2205.0,2025-12-07,HS,3602251807,2021-06-06
43.0,John,bethrobinson@example.com,Bronze,3369.0,2025-12-28,AR,5437607517,2021-12-05
115.0,Shawna,zwalker@example.org,Bronze,2205.0,2025-12-07,HS,1523667157,2021-06-06
35.0,Steven,sherry98@example.com,Bronze,488.0,2026-01-27,REG,493551211,2021-08-22
31.0,James,iproctor@example.com,Bronze,3219.0,2026-01-26,AR,8431570434,2024-03-27
12.0,Juan,steven18@example.org,Bronze,766.0,2026-01-25,HS,7999857512,2024-12-20
110.0,Dale,brandybaker@example.net,Silver,4754.0,2026-01-02,HS,7150539859,2021-11-03
51.0,Leslie,whitetammy@example.com,Gold,4548.0,2026-01-20,AR,8636118409,2025-07-31
24.0,Raymond,brittneymurphy@example.org,Bronze,2511.0,2026-01-29,AR,5353994566,2025-04-01
35.0,Steven,sherry98@example.com,Bronze,488.0,2026-01-27,REG,5930691583,2021-08-22
