line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount,customer_id,store_id,transaction_date,total_amount,customer_phone_x,product_name,product_category,unit_price,current_stock_level,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,customer_phone_y,customer_since,store_name,store_city,store_region,opening_date,promotion_name,start_date,end_date,discount_percentage,applicable_category
1,TXN100001,26,1.0,2,2232.18,81.0,2,2026-02-01 08:11:01.543167,645.52,5049435537,Well,Grocery,1116.09,176,Ronald,jtorres@example.org,Silver,956.0,2026-01-22,REG,5141752312.0,2025-01-27,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,Deep Sale,2026-01-06,2026-02-08,21.43,Grocery
2,TXN100001,6,3.0,1,1205.21,81.0,2,2026-02-01 08:11:01.543167,645.52,5049435537,Daughter,Apparel,1205.21,475,Ronald,jtorres@example.org,Silver,956.0,2026-01-22,REG,5141752312.0,2025-01-27,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,Next Sale,2026-01-23,2026-02-09,23.25,ALL
3,TXN100001,24,,3,1973.52,81.0,2,2026-02-01 08:11:01.543167,645.52,5049435537,Technology,Electronics,657.84,512,Ronald,jtorres@example.org,Silver,956.0,2026-01-22,REG,5141752312.0,2025-01-27,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,
4,TXN100001,10,,1,176.85,81.0,2,2026-02-01 08:11:01.543167,645.52,5049435537,Without,Beauty,176.85,721,Ronald,jtorres@example.org,Silver,956.0,2026-01-22,REG,5141752312.0,2025-01-27,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,
5,TXN100001,18,1.0,4,1151.88,81.0,2,2026-02-01 08:11:01.543167,645.52,5049435537,Process,Beauty,287.97,811,Ronald,jtorres@example.org,Silver,956.0,2026-01-22,REG,5141752312.0,2025-01-27,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,Deep Sale,2026-01-06,2026-02-08,21.43,Grocery
6,TXN100002,18,,1,287.97,17.0,5,2026-02-03 08:11:01.543279,3708.71,7427227012,Process,Beauty,287.97,811,David,irussell@example.com,Gold,1930.0,2026-01-23,REG,3169432813.0,2023-10-20,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,,,,,
7,TXN100002,16,,4,5537.0,17.0,5,2026-02-03 08:11:01.543279,3708.71,7427227012,Summer,Apparel,1384.25,898,David,irussell@example.com,Gold,1930.0,2026-01-23,REG,3169432813.0,2023-10-20,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,,,,,
8,TXN100002,10,,4,707.4,17.0,5,2026-02-03 08:11:01.543279,3708.71,7427227012,Without,Beauty,176.85,721,David,irussell@example.com,Gold,1930.0,2026-01-23,REG,3169432813.0,2023-10-20,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,,,,,
9,TXN100002,10,,2,353.7,17.0,5,2026-02-03 08:11:01.543279,3708.71,7427227012,Without,Beauty,176.85,721,David,irussell@example.com,Gold,1930.0,2026-01-23,REG,3169432813.0,2023-10-20,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,,,,,
10,TXN100002,8,1.0,4,4938.84,17.0,5,2026-02-03 08:11:01.543279,3708.71,7427227012,Weight,Grocery,1234.71,746,David,irussell@example.com,Gold,1930.0,2026-01-23,REG,3169432813.0,2023-10-20,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,Deep Sale,2026-01-06,2026-02-08,21.43,Grocery
14,TXN100004,12,4.0,2,3865.96,64.0,5,2026-01-29 08:11:01.543383,3049.89,804216260,Hour,Grocery,1932.98,744,Paula,rlozano@example.com,Gold,4682.0,2025-12-10,REG,431652591.0,2025-07-24,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,Follow Sale,2026-01-17,2026-02-19,6.19,Electronics
15,TXN100004,20,3.0,4,468.24,64.0,5,2026-01-29 08:11:01.543383,3049.89,804216260,Standard,Home,117.06,236,Paula,rlozano@example.com,Gold,4682.0,2025-12-10,REG,431652591.0,2025-07-24,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,Next Sale,2026-01-23,2026-02-09,23.25,ALL
16,TXN100004,25,,1,1064.13,64.0,5,2026-01-29 08:11:01.543383,3049.89,804216260,Money,Electronics,1064.13,60,Paula,rlozano@example.com,Gold,4682.0,2025-12-10,REG,431652591.0,2025-07-24,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,,,,,
17,TXN100005,23,1.0,4,5367.68,28.0,1,2026-02-02 08:11:01.543426,2301.12,9598955998,Process,Home,1341.92,399,Jason,acevedoheather@example.com,Gold,1369.0,2026-01-08,REG,7890100057.0,2021-09-27,Wood-Davis Store,Snyderport,Georgia,2024-04-15,Deep Sale,2026-01-06,2026-02-08,21.43,Grocery
18,TXN100005,30,3.0,2,3764.04,28.0,1,2026-02-02 08:11:01.543426,2301.12,9598955998,Send,Home,1882.02,876,Jason,acevedoheather@example.com,Gold,1369.0,2026-01-08,REG,7890100057.0,2021-09-27,Wood-Davis Store,Snyderport,Georgia,2024-04-15,Next Sale,2026-01-23,2026-02-09,23.25,ALL
19,TXN100005,7,,1,140.58,28.0,1,2026-02-02 08:11:01.543426,2301.12,9598955998,Later,Grocery,140.58,481,Jason,acevedoheather@example.com,Gold,1369.0,2026-01-08,REG,7890100057.0,2021-09-27,Wood-Davis Store,Snyderport,Georgia,2024-04-15,,,,,
20,TXN100006,27,,3,1231.41,89.0,2,2026-01-30 08:11:01.543471,2170.81,1152780889,Ball,Grocery,410.47,34,Kyle,robertstracy@example.org,Bronze,1218.0,2026-01-29,AR,2626364124.0,2025-07-02,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,
21,TXN100007,22,,4,2218.48,13.0,3,2026-01-31 08:11:01.543511,554.45,6510463774,Raise,Beauty,554.62,207,Whitney,joseph52@example.com,Silver,4389.0,2025-12-22,REG,5432282852.0,2024-12-27,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
22,TXN100007,17,5.0,3,2724.9,13.0,3,2026-01-31 08:11:01.543511,554.45,6510463774,Ask,Home,908.3,72,Whitney,joseph52@example.com,Silver,4389.0,2025-12-22,REG,5432282852.0,2024-12-27,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,Result Sale,2026-01-12,2026-02-06,19.15,Beauty
23,TXN100007,23,4.0,4,5367.68,13.0,3,2026-01-31 08:11:01.543511,554.45,6510463774,Process,Home,1341.92,399,Whitney,joseph52@example.com,Silver,4389.0,2025-12-22,REG,5432282852.0,2024-12-27,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,Follow Sale,2026-01-17,2026-02-19,6.19,Electronics
